dataset,status,execution_time_seconds,stdout_log,stderr_log,result_file
cleaned_pruned_used_cars_data_1percent,SUCCESS,4.60,logs/cleaned_pruned_used_cars_data_1percent_20250531_112110_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250531_112110_stderr.log,results/cleaned_pruned_used_cars_data_1percent_20250531_112110_task2_sparkcore_result.txt
cleaned_pruned_used_cars_data_5percent,SUCCESS,7.25,logs/cleaned_pruned_used_cars_data_5percent_20250531_112117_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250531_112117_stderr.log,results/cleaned_pruned_used_cars_data_5percent_20250531_112117_task2_sparkcore_result.txt
cleaned_pruned_used_cars_data_20percent,SUCCESS,15.98,logs/cleaned_pruned_used_cars_data_20percent_20250531_112126_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250531_112126_stderr.log,results/cleaned_pruned_used_cars_data_20percent_20250531_112126_task2_sparkcore_result.txt
cleaned_pruned_used_cars_data,SUCCESS,51.12,logs/cleaned_pruned_used_cars_data_20250531_112144_stdout.log,logs/cleaned_pruned_used_cars_data_20250531_112144_stderr.log,results/cleaned_pruned_used_cars_data_20250531_112144_task2_sparkcore_result.txt
