dataset,status,execution_time_seconds,stdout_log,stderr_log,result_file
cleaned_pruned_used_cars_data_1percent,SUCCESS,26.09,logs/cleaned_pruned_used_cars_data_1percent_20250609_160904_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250609_160904_stderr.log,results/cleaned_pruned_used_cars_data_1percent_20250609_160904_task2_sparkcore_result.txt
cleaned_pruned_used_cars_data_5percent,SUCCESS,38.12,logs/cleaned_pruned_used_cars_data_5percent_20250609_160934_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250609_160934_stderr.log,results/cleaned_pruned_used_cars_data_5percent_20250609_160934_task2_sparkcore_result.txt
cleaned_pruned_used_cars_data_20percent,SUCCESS,67.36,logs/cleaned_pruned_used_cars_data_20percent_20250609_161018_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250609_161018_stderr.log,results/cleaned_pruned_used_cars_data_20percent_20250609_161018_task2_sparkcore_result.txt
cleaned_pruned_used_cars_data,SUCCESS,127.29,logs/cleaned_pruned_used_cars_data_20250609_161130_stdout.log,logs/cleaned_pruned_used_cars_data_20250609_161130_stderr.log,results/cleaned_pruned_used_cars_data_20250609_161130_task2_sparkcore_result.txt
cleaned_pruned_used_cars_data_200percent,SUCCESS,225.02,logs/cleaned_pruned_used_cars_data_200percent_20250609_161342_stdout.log,logs/cleaned_pruned_used_cars_data_200percent_20250609_161342_stderr.log,results/cleaned_pruned_used_cars_data_200percent_20250609_161342_task2_sparkcore_result.txt
