dataset,status,execution_time_seconds,stdout_log,stderr_log,result_file
cleaned_pruned_used_cars_data_1percent,SUCCESS,4.88,logs/cleaned_pruned_used_cars_data_1percent_20250607_195215_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250607_195215_stderr.log,results/cleaned_pruned_used_cars_data_1percent_20250607_195215_task2_sparkcore_result.txt
cleaned_pruned_used_cars_data_5percent,SUCCESS,7.33,logs/cleaned_pruned_used_cars_data_5percent_20250607_195222_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250607_195222_stderr.log,results/cleaned_pruned_used_cars_data_5percent_20250607_195222_task2_sparkcore_result.txt
cleaned_pruned_used_cars_data_20percent,SUCCESS,12.07,logs/cleaned_pruned_used_cars_data_20percent_20250607_195231_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250607_195231_stderr.log,results/cleaned_pruned_used_cars_data_20percent_20250607_195231_task2_sparkcore_result.txt
cleaned_pruned_used_cars_data,SUCCESS,46.31,logs/cleaned_pruned_used_cars_data_20250607_195245_stdout.log,logs/cleaned_pruned_used_cars_data_20250607_195245_stderr.log,results/cleaned_pruned_used_cars_data_20250607_195245_task2_sparkcore_result.txt
