dataset,status,execution_time_seconds,stdout_log,stderr_log,result_file
cleaned_pruned_used_cars_data_1percent,SUCCESS,8.89,logs/cleaned_pruned_used_cars_data_1percent_20250609_190119_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250609_190119_stderr.log,results/cleaned_pruned_used_cars_data_1percent_20250609_190119_task2_sparkcore_result.txt
cleaned_pruned_used_cars_data_5percent,SUCCESS,18.06,logs/cleaned_pruned_used_cars_data_5percent_20250609_190131_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250609_190131_stderr.log,results/cleaned_pruned_used_cars_data_5percent_20250609_190131_task2_sparkcore_result.txt
cleaned_pruned_used_cars_data_20percent,SUCCESS,49.82,logs/cleaned_pruned_used_cars_data_20percent_20250609_190153_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250609_190153_stderr.log,results/cleaned_pruned_used_cars_data_20percent_20250609_190153_task2_sparkcore_result.txt
cleaned_pruned_used_cars_data,SUCCESS,204.76,logs/cleaned_pruned_used_cars_data_20250609_190247_stdout.log,logs/cleaned_pruned_used_cars_data_20250609_190247_stderr.log,results/cleaned_pruned_used_cars_data_20250609_190247_task2_sparkcore_result.txt
cleaned_pruned_used_cars_data_200percent,SUCCESS,417.10,logs/cleaned_pruned_used_cars_data_200percent_20250609_190616_stdout.log,logs/cleaned_pruned_used_cars_data_200percent_20250609_190616_stderr.log,results/cleaned_pruned_used_cars_data_200percent_20250609_190616_task2_sparkcore_result.txt
