dataset,status,execution_time_seconds,stdout_log,stderr_log
cleaned_pruned_used_cars_data_1percent,SUCCESSO,75.83,logs/cleaned_pruned_used_cars_data_1percent_20250609_163333_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250609_163333_stderr.log
cleaned_pruned_used_cars_data_5percent,SUCCESSO,16.51,logs/cleaned_pruned_used_cars_data_5percent_20250609_163449_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250609_163449_stderr.log
cleaned_pruned_used_cars_data_20percent,SUCCESSO,17.13,logs/cleaned_pruned_used_cars_data_20percent_20250609_163505_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250609_163505_stderr.log
cleaned_pruned_used_cars_data,SUCCESSO,15.59,logs/cleaned_pruned_used_cars_data_20250609_163522_stdout.log,logs/cleaned_pruned_used_cars_data_20250609_163522_stderr.log
cleaned_pruned_used_cars_data_200percent,SUCCESSO,17.76,logs/cleaned_pruned_used_cars_data_200percent_20250609_163538_stdout.log,logs/cleaned_pruned_used_cars_data_200percent_20250609_163538_stderr.log
