dataset,status,execution_time_seconds,stdout_log,stderr_log
cleaned_pruned_used_cars_data_1percent,SUCCESSO,46.53,logs/cleaned_pruned_used_cars_data_1percent_20250609_104409_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250609_104409_stderr.log
cleaned_pruned_used_cars_data_5percent,SUCCESSO,21.74,logs/cleaned_pruned_used_cars_data_5percent_20250609_104456_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250609_104456_stderr.log
cleaned_pruned_used_cars_data_20percent,SUCCESSO,21.82,logs/cleaned_pruned_used_cars_data_20percent_20250609_104518_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250609_104518_stderr.log
cleaned_pruned_used_cars_data,SUCCESSO,21.79,logs/cleaned_pruned_used_cars_data_20250609_104539_stdout.log,logs/cleaned_pruned_used_cars_data_20250609_104539_stderr.log
