dataset,status,execution_time_seconds,stdout_log,stderr_log
cleaned_pruned_used_cars_data_1percent,SUCCESSO,10.18,logs/cleaned_pruned_used_cars_data_1percent_20250609_193013_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250609_193013_stderr.log
cleaned_pruned_used_cars_data_5percent,SUCCESSO,11.51,logs/cleaned_pruned_used_cars_data_5percent_20250609_193023_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250609_193023_stderr.log
cleaned_pruned_used_cars_data_20percent,SUCCESSO,12.71,logs/cleaned_pruned_used_cars_data_20percent_20250609_193034_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250609_193034_stderr.log
cleaned_pruned_used_cars_data,SUCCESSO,12.68,logs/cleaned_pruned_used_cars_data_20250609_193047_stdout.log,logs/cleaned_pruned_used_cars_data_20250609_193047_stderr.log
cleaned_pruned_used_cars_data_200percent,SUCCESSO,12.67,logs/cleaned_pruned_used_cars_data_200percent_20250609_193100_stdout.log,logs/cleaned_pruned_used_cars_data_200percent_20250609_193100_stderr.log
