dataset,status,execution_time_seconds,stdout_log,stderr_log,result_file
cleaned_pruned_used_cars_data_1percent,SUCCESSO,3.14,logs/cleaned_pruned_used_cars_data_1percent_20250609_182427_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250609_182427_stderr.log,results/cleaned_pruned_used_cars_data_1percent_20250609_182427_task1_mapreduce_result.txt
cleaned_pruned_used_cars_data_5percent,SUCCESSO,5.05,logs/cleaned_pruned_used_cars_data_5percent_20250609_182433_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250609_182433_stderr.log,results/cleaned_pruned_used_cars_data_5percent_20250609_182433_task1_mapreduce_result.txt
cleaned_pruned_used_cars_data_20percent,SUCCESSO,12.12,logs/cleaned_pruned_used_cars_data_20percent_20250609_182441_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250609_182441_stderr.log,results/cleaned_pruned_used_cars_data_20percent_20250609_182441_task1_mapreduce_result.txt
cleaned_pruned_used_cars_data,SUCCESSO,40.55,logs/cleaned_pruned_used_cars_data_20250609_182456_stdout.log,logs/cleaned_pruned_used_cars_data_20250609_182456_stderr.log,results/cleaned_pruned_used_cars_data_20250609_182456_task1_mapreduce_result.txt
cleaned_pruned_used_cars_data_200percent,SUCCESSO,75.58,logs/cleaned_pruned_used_cars_data_200percent_20250609_182540_stdout.log,logs/cleaned_pruned_used_cars_data_200percent_20250609_182540_stderr.log,results/cleaned_pruned_used_cars_data_200percent_20250609_182540_task1_mapreduce_result.txt
