dataset,status,execution_time_seconds,stdout_log,stderr_log,result_file
cleaned_pruned_used_cars_data_1percent,SUCCESSO,2.33,logs/cleaned_pruned_used_cars_data_1percent_20250609_165213_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250609_165213_stderr.log,results/cleaned_pruned_used_cars_data_1percent_20250609_165213_task1_mapreduce_result.txt
cleaned_pruned_used_cars_data_5percent,SUCCESSO,3.35,logs/cleaned_pruned_used_cars_data_5percent_20250609_165217_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250609_165217_stderr.log,results/cleaned_pruned_used_cars_data_5percent_20250609_165217_task1_mapreduce_result.txt
cleaned_pruned_used_cars_data_20percent,SUCCESSO,5.31,logs/cleaned_pruned_used_cars_data_20percent_20250609_165222_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250609_165222_stderr.log,results/cleaned_pruned_used_cars_data_20percent_20250609_165222_task1_mapreduce_result.txt
cleaned_pruned_used_cars_data,SUCCESSO,19.37,logs/cleaned_pruned_used_cars_data_20250609_165230_stdout.log,logs/cleaned_pruned_used_cars_data_20250609_165230_stderr.log,results/cleaned_pruned_used_cars_data_20250609_165230_task1_mapreduce_result.txt
cleaned_pruned_used_cars_data_200percent,SUCCESSO,35.41,logs/cleaned_pruned_used_cars_data_200percent_20250609_165251_stdout.log,logs/cleaned_pruned_used_cars_data_200percent_20250609_165251_stderr.log,results/cleaned_pruned_used_cars_data_200percent_20250609_165251_task1_mapreduce_result.txt
