dataset,status,execution_time_seconds,stdout_log,stderr_log,result_file
cleaned_pruned_used_cars_data_1percent,SUCCESSO,2.43,logs/cleaned_pruned_used_cars_data_1percent_20250522_151209_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250522_151209_stderr.log,results/cleaned_pruned_used_cars_data_1percent_20250522_151209_result.txt
cleaned_pruned_used_cars_data_5percent,SUCCESSO,3.35,logs/cleaned_pruned_used_cars_data_5percent_20250522_151213_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250522_151213_stderr.log,results/cleaned_pruned_used_cars_data_5percent_20250522_151213_result.txt
cleaned_pruned_used_cars_data_20percent,SUCCESSO,5.40,logs/cleaned_pruned_used_cars_data_20percent_20250522_151219_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250522_151219_stderr.log,results/cleaned_pruned_used_cars_data_20percent_20250522_151219_result.txt
cleaned_pruned_used_cars_data,SUCCESSO,16.40,logs/cleaned_pruned_used_cars_data_20250522_151226_stdout.log,logs/cleaned_pruned_used_cars_data_20250522_151226_stderr.log,results/cleaned_pruned_used_cars_data_20250522_151226_result.txt
