dataset,status,execution_time_seconds,stdout_log,stderr_log,result_file
cleaned_pruned_used_cars_data_1percent,SUCCESSO,2.76,logs/cleaned_pruned_used_cars_data_1percent_20250526_142047_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250526_142047_stderr.log,results/cleaned_pruned_used_cars_data_1percent_20250526_142047_task1_mapreduce_result.txt
cleaned_pruned_used_cars_data_5percent,SUCCESSO,3.81,logs/cleaned_pruned_used_cars_data_5percent_20250526_142052_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250526_142052_stderr.log,results/cleaned_pruned_used_cars_data_5percent_20250526_142052_task1_mapreduce_result.txt
cleaned_pruned_used_cars_data_20percent,SUCCESSO,6.79,logs/cleaned_pruned_used_cars_data_20percent_20250526_142059_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250526_142059_stderr.log,results/cleaned_pruned_used_cars_data_20percent_20250526_142059_task1_mapreduce_result.txt
cleaned_pruned_used_cars_data,FALLITO,1.69,logs/cleaned_pruned_used_cars_data_20250526_142108_stdout.log,logs/cleaned_pruned_used_cars_data_20250526_142108_stderr.log,N/A
