dataset,status,execution_time_seconds,stdout_log,stderr_log,result_file
cleaned_pruned_used_cars_data_1percent,SUCCESSO,31.82,logs/cleaned_pruned_used_cars_data_1percent_20250605_140101_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250605_140101_stderr.log,results/cleaned_pruned_used_cars_data_1percent_20250605_140101_task1_mapreduce_result.txt
cleaned_pruned_used_cars_data_5percent,SUCCESSO,32.71,logs/cleaned_pruned_used_cars_data_5percent_20250605_140137_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250605_140137_stderr.log,results/cleaned_pruned_used_cars_data_5percent_20250605_140137_task1_mapreduce_result.txt
cleaned_pruned_used_cars_data_20percent,SUCCESSO,45.52,logs/cleaned_pruned_used_cars_data_20percent_20250605_140214_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250605_140214_stderr.log,results/cleaned_pruned_used_cars_data_20percent_20250605_140214_task1_mapreduce_result.txt
cleaned_pruned_used_cars_data,SUCCESSO,169.67,logs/cleaned_pruned_used_cars_data_20250605_140304_stdout.log,logs/cleaned_pruned_used_cars_data_20250605_140304_stderr.log,results/cleaned_pruned_used_cars_data_20250605_140304_task1_mapreduce_result.txt

