dataset,status,execution_time_seconds,stdout_log,stderr_log,result_file
cleaned_pruned_used_cars_data_1percent,SUCCESSO,32.75,logs/cleaned_pruned_used_cars_data_1percent_20250609_154529_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250609_154529_stderr.log,results/cleaned_pruned_used_cars_data_1percent_20250609_154529_task1_mapreduce_result.txt
cleaned_pruned_used_cars_data_5percent,SUCCESSO,30.05,logs/cleaned_pruned_used_cars_data_5percent_20250609_154606_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250609_154606_stderr.log,results/cleaned_pruned_used_cars_data_5percent_20250609_154606_task1_mapreduce_result.txt
cleaned_pruned_used_cars_data_20percent,SUCCESSO,33.00,logs/cleaned_pruned_used_cars_data_20percent_20250609_154640_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250609_154640_stderr.log,results/cleaned_pruned_used_cars_data_20percent_20250609_154640_task1_mapreduce_result.txt
cleaned_pruned_used_cars_data,SUCCESSO,106.61,logs/cleaned_pruned_used_cars_data_20250609_154718_stdout.log,logs/cleaned_pruned_used_cars_data_20250609_154718_stderr.log,results/cleaned_pruned_used_cars_data_20250609_154718_task1_mapreduce_result.txt
cleaned_pruned_used_cars_data_200percent,SUCCESSO,187.49,logs/cleaned_pruned_used_cars_data_200percent_20250609_154909_stdout.log,logs/cleaned_pruned_used_cars_data_200percent_20250609_154909_stderr.log,results/cleaned_pruned_used_cars_data_200percent_20250609_154909_task1_mapreduce_result.txt
