dataset,status,execution_time_seconds,stdout_log,stderr_log,result_file
cleaned_pruned_used_cars_data_1percent,SUCCESS,27.87,logs/cleaned_pruned_used_cars_data_1percent_20250609_155304_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250609_155304_stderr.log,results/cleaned_pruned_used_cars_data_1percent_20250609_155304_task1_sparkcore_result.txt
cleaned_pruned_used_cars_data_5percent,SUCCESS,27.23,logs/cleaned_pruned_used_cars_data_5percent_20250609_155336_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250609_155336_stderr.log,results/cleaned_pruned_used_cars_data_5percent_20250609_155336_task1_sparkcore_result.txt
cleaned_pruned_used_cars_data_20percent,SUCCESS,31.96,logs/cleaned_pruned_used_cars_data_20percent_20250609_155408_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250609_155408_stderr.log,results/cleaned_pruned_used_cars_data_20percent_20250609_155408_task1_sparkcore_result.txt
cleaned_pruned_used_cars_data,SUCCESS,38.41,logs/cleaned_pruned_used_cars_data_20250609_155444_stdout.log,logs/cleaned_pruned_used_cars_data_20250609_155444_stderr.log,results/cleaned_pruned_used_cars_data_20250609_155444_task1_sparkcore_result.txt
cleaned_pruned_used_cars_data_200percent,SUCCESS,48.71,logs/cleaned_pruned_used_cars_data_200percent_20250609_155527_stdout.log,logs/cleaned_pruned_used_cars_data_200percent_20250609_155527_stderr.log,results/cleaned_pruned_used_cars_data_200percent_20250609_155527_task1_sparkcore_result.txt
