dataset,status,execution_time_seconds,stdout_log,stderr_log,result_file
cleaned_pruned_used_cars_data_1percent,SUCCESS,6.60,logs/cleaned_pruned_used_cars_data_1percent_20250609_182854_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250609_182854_stderr.log,results/cleaned_pruned_used_cars_data_1percent_20250609_182854_task1_sparkcore_result.txt
cleaned_pruned_used_cars_data_5percent,SUCCESS,6.62,logs/cleaned_pruned_used_cars_data_5percent_20250609_182903_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250609_182903_stderr.log,results/cleaned_pruned_used_cars_data_5percent_20250609_182903_task1_sparkcore_result.txt
cleaned_pruned_used_cars_data_20percent,SUCCESS,14.15,logs/cleaned_pruned_used_cars_data_20percent_20250609_182913_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250609_182913_stderr.log,results/cleaned_pruned_used_cars_data_20percent_20250609_182913_task1_sparkcore_result.txt
cleaned_pruned_used_cars_data,SUCCESS,32.44,logs/cleaned_pruned_used_cars_data_20250609_182931_stdout.log,logs/cleaned_pruned_used_cars_data_20250609_182931_stderr.log,results/cleaned_pruned_used_cars_data_20250609_182931_task1_sparkcore_result.txt
cleaned_pruned_used_cars_data_200percent,SUCCESS,60.28,logs/cleaned_pruned_used_cars_data_200percent_20250609_183008_stdout.log,logs/cleaned_pruned_used_cars_data_200percent_20250609_183008_stderr.log,results/cleaned_pruned_used_cars_data_200percent_20250609_183008_task1_sparkcore_result.txt
