dataset,status,execution_time_seconds,stdout_log,stderr_log,result_file
cleaned_pruned_used_cars_data_1percent,SUCCESS,4.82,logs/cleaned_pruned_used_cars_data_1percent_20250526_102244_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250526_102244_stderr.log,results/cleaned_pruned_used_cars_data_1percent_20250526_102244_result.txt
cleaned_pruned_used_cars_data_5percent,SUCCESS,5.12,logs/cleaned_pruned_used_cars_data_5percent_20250526_102252_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250526_102252_stderr.log,results/cleaned_pruned_used_cars_data_5percent_20250526_102252_result.txt
cleaned_pruned_used_cars_data_20percent,SUCCESS,7.23,logs/cleaned_pruned_used_cars_data_20percent_20250526_102300_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250526_102300_stderr.log,results/cleaned_pruned_used_cars_data_20percent_20250526_102300_result.txt
cleaned_pruned_used_cars_data,FAILED,3.50,logs/cleaned_pruned_used_cars_data_20250526_102310_stdout.log,logs/cleaned_pruned_used_cars_data_20250526_102310_stderr.log,N/A
