dataset,status,execution_time_seconds,stdout_log,stderr_log,result_file
cleaned_pruned_used_cars_data_1percent,SUCCESS,4.06,logs/cleaned_pruned_used_cars_data_1percent_20250607_192851_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250607_192851_stderr.log,results/cleaned_pruned_used_cars_data_1percent_20250607_192851_task1_sparkcore_result.txt
cleaned_pruned_used_cars_data_5percent,SUCCESS,4.40,logs/cleaned_pruned_used_cars_data_5percent_20250607_192857_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250607_192857_stderr.log,results/cleaned_pruned_used_cars_data_5percent_20250607_192857_task1_sparkcore_result.txt
cleaned_pruned_used_cars_data_20percent,SUCCESS,5.34,logs/cleaned_pruned_used_cars_data_20percent_20250607_192904_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250607_192904_stderr.log,results/cleaned_pruned_used_cars_data_20percent_20250607_192904_task1_sparkcore_result.txt
cleaned_pruned_used_cars_data,SUCCESS,11.52,logs/cleaned_pruned_used_cars_data_20250607_192911_stdout.log,logs/cleaned_pruned_used_cars_data_20250607_192911_stderr.log,results/cleaned_pruned_used_cars_data_20250607_192911_task1_sparkcore_result.txt
