dataset,status,execution_time_seconds,stdout_log,stderr_log
cleaned_pruned_used_cars_data_1percent,SUCCESSO,28.30,logs/cleaned_pruned_used_cars_data_1percent_20250609_155646_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250609_155646_stderr.log
cleaned_pruned_used_cars_data_5percent,SUCCESSO,29.93,logs/cleaned_pruned_used_cars_data_5percent_20250609_155714_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250609_155714_stderr.log
cleaned_pruned_used_cars_data_20percent,SUCCESSO,32.59,logs/cleaned_pruned_used_cars_data_20percent_20250609_155744_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250609_155744_stderr.log
cleaned_pruned_used_cars_data,SUCCESSO,36.58,logs/cleaned_pruned_used_cars_data_20250609_155817_stdout.log,logs/cleaned_pruned_used_cars_data_20250609_155817_stderr.log
cleaned_pruned_used_cars_data_200percent,SUCCESSO,42.34,logs/cleaned_pruned_used_cars_data_200percent_20250609_155854_stdout.log,logs/cleaned_pruned_used_cars_data_200percent_20250609_155854_stderr.log
