dataset,status,execution_time_seconds,stdout_log,stderr_log
cleaned_pruned_used_cars_data_1percent,SUCCESSO,13.71,logs/cleaned_pruned_used_cars_data_1percent_20250609_191647_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250609_191647_stderr.log
cleaned_pruned_used_cars_data_5percent,SUCCESSO,17.29,logs/cleaned_pruned_used_cars_data_5percent_20250609_191701_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250609_191701_stderr.log
cleaned_pruned_used_cars_data_20percent,SUCCESSO,22.58,logs/cleaned_pruned_used_cars_data_20percent_20250609_191718_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250609_191718_stderr.log
cleaned_pruned_used_cars_data,SUCCESSO,46.79,logs/cleaned_pruned_used_cars_data_20250609_191741_stdout.log,logs/cleaned_pruned_used_cars_data_20250609_191741_stderr.log
cleaned_pruned_used_cars_data_200percent,SUCCESSO,81.77,logs/cleaned_pruned_used_cars_data_200percent_20250609_191828_stdout.log,logs/cleaned_pruned_used_cars_data_200percent_20250609_191828_stderr.log
