dataset,status,execution_time_seconds,stdout_log,stderr_log
cleaned_pruned_used_cars_data_1percent,SUCCESSO,10.26,logs/cleaned_pruned_used_cars_data_1percent_20250609_160414_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250609_160414_stderr.log
cleaned_pruned_used_cars_data_5percent,SUCCESSO,10.07,logs/cleaned_pruned_used_cars_data_5percent_20250609_160424_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250609_160424_stderr.log
cleaned_pruned_used_cars_data_20percent,SUCCESSO,10.77,logs/cleaned_pruned_used_cars_data_20percent_20250609_160434_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250609_160434_stderr.log
cleaned_pruned_used_cars_data,SUCCESSO,20.30,logs/cleaned_pruned_used_cars_data_20250609_160445_stdout.log,logs/cleaned_pruned_used_cars_data_20250609_160445_stderr.log
