dataset,status,execution_time_seconds,stdout_log,stderr_log
cleaned_pruned_used_cars_data_1percent,SUCCESSO,28.29,logs/cleaned_pruned_used_cars_data_1percent_20250608_175135_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250608_175135_stderr.log
cleaned_pruned_used_cars_data_5percent,SUCCESSO,29.99,logs/cleaned_pruned_used_cars_data_5percent_20250608_175203_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250608_175203_stderr.log
cleaned_pruned_used_cars_data_20percent,SUCCESSO,39.00,logs/cleaned_pruned_used_cars_data_20percent_20250608_175233_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250608_175233_stderr.log
cleaned_pruned_used_cars_data,SUCCESSO,87.64,logs/cleaned_pruned_used_cars_data_20250608_175312_stdout.log,logs/cleaned_pruned_used_cars_data_20250608_175312_stderr.log
