dataset,status,execution_time_seconds,stdout_log,stderr_log,result_file
cleaned_pruned_used_cars_data_1percent,SUCCESSO,4.36,logs/cleaned_pruned_used_cars_data_1percent_20250609_160638_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250609_160638_stderr.log,results/cleaned_pruned_used_cars_data_1percent_20250609_160638_task2_mapreduce_result.txt
cleaned_pruned_used_cars_data_5percent,SUCCESSO,13.34,logs/cleaned_pruned_used_cars_data_5percent_20250609_160644_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250609_160644_stderr.log,results/cleaned_pruned_used_cars_data_5percent_20250609_160644_task2_mapreduce_result.txt
cleaned_pruned_used_cars_data_20percent,SUCCESSO,45.37,logs/cleaned_pruned_used_cars_data_20percent_20250609_160659_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250609_160659_stderr.log,results/cleaned_pruned_used_cars_data_20percent_20250609_160659_task2_mapreduce_result.txt
cleaned_pruned_used_cars_data,SUCCESSO,230.55,logs/cleaned_pruned_used_cars_data_20250609_160747_stdout.log,logs/cleaned_pruned_used_cars_data_20250609_160747_stderr.log,results/cleaned_pruned_used_cars_data_20250609_160747_task2_mapreduce_result.txt
