dataset,status,execution_time_seconds,stdout_log,stderr_log,result_file
cleaned_pruned_used_cars_data_1percent,SUCCESSO,30.84,logs/cleaned_pruned_used_cars_data_1percent_20250609_161812_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250609_161812_stderr.log,results/cleaned_pruned_used_cars_data_1percent_20250609_161812_task2_mapreduce_result.txt
cleaned_pruned_used_cars_data_5percent,SUCCESSO,35.98,logs/cleaned_pruned_used_cars_data_5percent_20250609_161848_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250609_161848_stderr.log,results/cleaned_pruned_used_cars_data_5percent_20250609_161848_task2_mapreduce_result.txt
cleaned_pruned_used_cars_data_20percent,SUCCESSO,56.89,logs/cleaned_pruned_used_cars_data_20percent_20250609_161928_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250609_161928_stderr.log,results/cleaned_pruned_used_cars_data_20percent_20250609_161928_task2_mapreduce_result.txt
cleaned_pruned_used_cars_data,SUCCESSO,228.63,logs/cleaned_pruned_used_cars_data_20250609_162030_stdout.log,logs/cleaned_pruned_used_cars_data_20250609_162030_stderr.log,results/cleaned_pruned_used_cars_data_20250609_162030_task2_mapreduce_result.txt
cleaned_pruned_used_cars_data_200percent,SUCCESSO,425.87,logs/cleaned_pruned_used_cars_data_200percent_20250609_162423_stdout.log,logs/cleaned_pruned_used_cars_data_200percent_20250609_162423_stderr.log,results/cleaned_pruned_used_cars_data_200percent_20250609_162423_task2_mapreduce_result.txt
