dataset,status,execution_time_seconds,stdout_log,stderr_log,result_file
cleaned_pruned_used_cars_data_1percent,SUCCESSO,19.47,logs/cleaned_pruned_used_cars_data_1percent_20250608_120226_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250608_120226_stderr.log,results/cleaned_pruned_used_cars_data_1percent_20250608_120226_task2_mapreduce_result.txt
cleaned_pruned_used_cars_data_5percent,SUCCESSO,65.58,logs/cleaned_pruned_used_cars_data_5percent_20250608_120252_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250608_120252_stderr.log,results/cleaned_pruned_used_cars_data_5percent_20250608_120252_task2_mapreduce_result.txt
cleaned_pruned_used_cars_data_20percent,SUCCESSO,217.77,logs/cleaned_pruned_used_cars_data_20percent_20250608_120405_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250608_120405_stderr.log,results/cleaned_pruned_used_cars_data_20percent_20250608_120405_task2_mapreduce_result.txt
cleaned_pruned_used_cars_data,SUCCESSO,1102.96,logs/cleaned_pruned_used_cars_data_20250608_120749_stdout.log,logs/cleaned_pruned_used_cars_data_20250608_120749_stderr.log,results/cleaned_pruned_used_cars_data_20250608_120749_task2_mapreduce_result.txt
