dataset,status,execution_time_seconds,stdout_log,stderr_log,result_file
cleaned_pruned_used_cars_data_1percent,SUCCESSO,3.76,logs/cleaned_pruned_used_cars_data_1percent_20250526_141700_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250526_141700_stderr.log,results/cleaned_pruned_used_cars_data_1percent_20250526_141700_task2_mapreduce_result.txt
cleaned_pruned_used_cars_data_5percent,SUCCESSO,5.83,logs/cleaned_pruned_used_cars_data_5percent_20250526_141706_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250526_141706_stderr.log,results/cleaned_pruned_used_cars_data_5percent_20250526_141706_task2_mapreduce_result.txt
cleaned_pruned_used_cars_data_20percent,SUCCESSO,12.83,logs/cleaned_pruned_used_cars_data_20percent_20250526_141715_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250526_141715_stderr.log,results/cleaned_pruned_used_cars_data_20percent_20250526_141715_task2_mapreduce_result.txt
cleaned_pruned_used_cars_data,FALLITO,1.59,logs/cleaned_pruned_used_cars_data_20250526_141730_stdout.log,logs/cleaned_pruned_used_cars_data_20250526_141730_stderr.log,N/A
