dataset,status,execution_time_seconds,stdout_log,stderr_log,result_file
cleaned_pruned_used_cars_data_1percent,SUCCESSO,35.79,logs/cleaned_pruned_used_cars_data_1percent_20250606_105740_stdout.log,logs/cleaned_pruned_used_cars_data_1percent_20250606_105740_stderr.log,results/cleaned_pruned_used_cars_data_1percent_20250606_105740_task2_mapreduce_result.txt
cleaned_pruned_used_cars_data_5percent,SUCCESSO,43.22,logs/cleaned_pruned_used_cars_data_5percent_20250606_105820_stdout.log,logs/cleaned_pruned_used_cars_data_5percent_20250606_105820_stderr.log,results/cleaned_pruned_used_cars_data_5percent_20250606_105820_task2_mapreduce_result.txt
cleaned_pruned_used_cars_data_20percent,SUCCESSO,87.89,logs/cleaned_pruned_used_cars_data_20percent_20250606_105908_stdout.log,logs/cleaned_pruned_used_cars_data_20percent_20250606_105908_stderr.log,results/cleaned_pruned_used_cars_data_20percent_20250606_105908_task2_mapreduce_result.txt
cleaned_pruned_used_cars_data,SUCCESSO,394.21,logs/cleaned_pruned_used_cars_data_20250606_110041_stdout.log,logs/cleaned_pruned_used_cars_data_20250606_110041_stderr.log,results/cleaned_pruned_used_cars_data_20250606_110041_task2_mapreduce_result.txt
